consec,GID,YEAR,IDno,MaxFreq,SeePlot_g,SeeLoc_g,AL,IA,IL,ND,NY,TOTALfreq,wgTOTAL,lCONSEC,lACCNO,lGID,lLOC,lLOCwg,pLABEL01,pLABEL02,pLABEL03
31,IL24-8005,24,8005,1,24,24,1,1,0,1,1,4,216,123,31,IL24-8005,ND,120 g,123  ( ND--31 ),IL24-8005,B4i-26 Oat seed ~120 g
31,IL24-8005,24,8005,1,24,24,1,1,0,1,1,4,216,124,31,IL24-8005,NY,120 g,124  ( NY--31 ),IL24-8005,B4i-26 Oat seed ~120 g
32,IL24-2405,24,2405,2,24,48,1,1,2,2,1,7,288,125,32,IL24-2405,AL,120 g,125  ( AL--32 ),IL24-2405,B4i-26 Oat seed ~120 g
32,IL24-2405,24,2405,2,24,48,1,1,2,2,1,7,288,126,32,IL24-2405,IA,120 g,126  ( IA--32 ),IL24-2405,B4i-26 Oat seed ~120 g
32,IL24-2405,24,2405,2,24,48,1,1,2,2,1,7,288,127,32,IL24-2405,ND,120 g,127  ( ND--32 ),IL24-2405,B4i-26 Oat seed ~120 g
32,IL24-2405,24,2405,2,24,48,1,1,2,2,1,7,288,128,32,IL24-2405,NY,120 g,128  ( NY--32 ),IL24-2405,B4i-26 Oat seed ~120 g
33,IL24-364,24,364,2,24,48,1,2,1,1,0,5,240,129,33,IL24-364,AL,120 g,129  ( AL--33 ),IL24-364,B4i-26 Oat seed ~120 g
33,IL24-364,24,364,2,24,48,1,2,1,1,0,5,240,130,33,IL24-364,IA,120 g,130  ( IA--33 ),IL24-364,B4i-26 Oat seed ~120 g
33,IL24-364,24,364,2,24,48,1,2,1,1,0,5,240,131,33,IL24-364,ND,120 g,131  ( ND--33 ),IL24-364,B4i-26 Oat seed ~120 g
33,IL24-364,24,364,2,24,48,1,2,1,1,0,5,240,132,33,IL24-364,NY,120 g,132  ( NY--33 ),IL24-364,B4i-26 Oat seed ~120 g
34,IL24-2611,24,2611,2,24,48,1,0,2,2,2,7,288,133,34,IL24-2611,AL,120 g,133  ( AL--34 ),IL24-2611,B4i-26 Oat seed ~120 g
34,IL24-2611,24,2611,2,24,48,1,0,2,2,2,7,288,134,34,IL24-2611,IA,120 g,134  ( IA--34 ),IL24-2611,B4i-26 Oat seed ~120 g
34,IL24-2611,24,2611,2,24,48,1,0,2,2,2,7,288,135,34,IL24-2611,ND,120 g,135  ( ND--34 ),IL24-2611,B4i-26 Oat seed ~120 g
34,IL24-2611,24,2611,2,24,48,1,0,2,2,2,7,288,136,34,IL24-2611,NY,120 g,136  ( NY--34 ),IL24-2611,B4i-26 Oat seed ~120 g
35,IL24-1716,24,1716,3,24,72,3,3,3,3,3,15,480,137,35,IL24-1716,AL,120 g,137  ( AL--35 ),IL24-1716,B4i-26 Oat seed ~120 g
35,IL24-1716,24,1716,3,24,72,3,3,3,3,3,15,480,138,35,IL24-1716,IA,120 g,138  ( IA--35 ),IL24-1716,B4i-26 Oat seed ~120 g
35,IL24-1716,24,1716,3,24,72,3,3,3,3,3,15,480,139,35,IL24-1716,ND,120 g,139  ( ND--35 ),IL24-1716,B4i-26 Oat seed ~120 g
35,IL24-1716,24,1716,3,24,72,3,3,3,3,3,15,480,140,35,IL24-1716,NY,120 g,140  ( NY--35 ),IL24-1716,B4i-26 Oat seed ~120 g
36,IL24-6560,24,6560,3,24,72,2,2,2,2,3,11,384,141,36,IL24-6560,AL,120 g,141  ( AL--36 ),IL24-6560,B4i-26 Oat seed ~120 g
36,IL24-6560,24,6560,3,24,72,2,2,2,2,3,11,384,142,36,IL24-6560,IA,120 g,142  ( IA--36 ),IL24-6560,B4i-26 Oat seed ~120 g
36,IL24-6560,24,6560,3,24,72,2,2,2,2,3,11,384,143,36,IL24-6560,ND,120 g,143  ( ND--36 ),IL24-6560,B4i-26 Oat seed ~120 g
36,IL24-6560,24,6560,3,24,72,2,2,2,2,3,11,384,144,36,IL24-6560,NY,120 g,144  ( NY--36 ),IL24-6560,B4i-26 Oat seed ~120 g
37,IL24-8612,24,8612,2,24,48,2,1,2,2,2,9,336,145,37,IL24-8612,AL,120 g,145  ( AL--37 ),IL24-8612,B4i-26 Oat seed ~120 g
37,IL24-8612,24,8612,2,24,48,2,1,2,2,2,9,336,146,37,IL24-8612,IA,120 g,146  ( IA--37 ),IL24-8612,B4i-26 Oat seed ~120 g
37,IL24-8612,24,8612,2,24,48,2,1,2,2,2,9,336,147,37,IL24-8612,ND,120 g,147  ( ND--37 ),IL24-8612,B4i-26 Oat seed ~120 g
37,IL24-8612,24,8612,2,24,48,2,1,2,2,2,9,336,148,37,IL24-8612,NY,120 g,148  ( NY--37 ),IL24-8612,B4i-26 Oat seed ~120 g
38,IL24-2320,24,2320,1,24,24,1,1,1,1,1,5,240,149,38,IL24-2320,AL,120 g,149  ( AL--38 ),IL24-2320,B4i-26 Oat seed ~120 g
38,IL24-2320,24,2320,1,24,24,1,1,1,1,1,5,240,150,38,IL24-2320,IA,120 g,150  ( IA--38 ),IL24-2320,B4i-26 Oat seed ~120 g
